otu,Pond 1,Pond 2,Pond 3,Pond 4,Pond 5,Pond 6
OTU1,441,1198,1672,1127,3146,1628
OTU2,176,574,96,1246,896,201
OTU3,106,1144,536,573,70,291
OTU4,20,278,102,343,987,774
OTU5,19,148,131,418,735,404
OTU6,24,145,113,107,861,535
OTU7,138,450,96,907,40,0
OTU8,50,205,145,323,494,255
OTU9,70,348,297,148,102,488
OTU10,85,334,176,405,287,141
OTU11,0,201,261,0,442,453
OTU12,7,32,63,5,537,693
OTU13,0,69,264,0,360,595
OTU14,1137,51,36,0,13,15
OTU15,13,151,109,135,638,205
OTU16,25,63,172,102,841,45
OTU17,22,104,109,207,628,159
OTU18,0,159,242,100,432,109
OTU19,157,252,125,213,82,196
OTU20,334,315,231,82,31,19
OTU21,0,68,175,32,459,251
OTU22,37,395,96,327,30,93
OTU23,46,0,928,0,0,0
OTU24,0,103,107,298,376,53
OTU25,91,316,126,184,67,143
OTU26,102,152,81,588,0,0
OTU27,57,186,122,190,199,128
OTU28,94,151,62,83,263,212
OTU29,39,299,24,477,11,12
OTU30,0,0,0,201,642,0
OTU31,3,40,21,95,170,510
OTU32,0,200,224,117,108,190
OTU33,0,66,29,204,472,57
OTU34,0,63,41,209,445,69
OTU35,0,47,28,136,536,79
OTU36,0,156,101,120,225,221
OTU37,116,388,0,277,0,0
OTU38,33,222,64,111,38,308
OTU39,0,76,72,189,344,95
OTU40,0,42,85,45,328,276
OTU41,29,239,103,121,36,242
OTU42,0,181,130,200,153,104
OTU43,160,109,40,27,0,430
OTU44,0,0,100,168,365,126
OTU45,524,123,7,79,25,0
OTU46,27,138,77,191,198,109
OTU47,0,0,0,81,632,15
OTU48,22,404,0,295,0,0
OTU49,0,4,17,34,657,6
OTU50,40,374,137,154,0,0
OTU51,0,67,0,103,527,0
OTU52,0,27,53,46,241,315
OTU53,0,31,7,136,468,37
OTU54,26,39,28,123,352,109
OTU55,6,57,46,83,241,241
OTU56,42,211,24,327,45,24
OTU57,0,115,262,90,82,113
OTU58,35,271,170,133,0,51
OTU59,55,217,68,249,0,59
OTU60,76,186,30,133,162,49
OTU61,0,33,23,63,454,58
OTU62,14,386,125,31,45,26
OTU63,4,491,5,123,0,0
OTU64,0,65,19,111,369,51
OTU65,0,158,108,140,142,60
OTU66,0,20,0,121,398,61
OTU67,60,268,91,61,20,91
OTU68,0,87,39,81,159,202
OTU69,40,85,0,118,258,59
OTU70,19,138,69,135,46,148
OTU71,57,137,0,170,101,87
OTU72,0,0,0,52,411,85
OTU73,40,147,40,255,45,17
OTU74,0,0,0,0,486,51
OTU75,0,42,31,36,234,193
OTU76,0,0,32,30,386,87
OTU77,0,168,51,0,47,266
OTU78,45,204,281,0,0,0
OTU79,0,36,39,62,346,46
OTU80,0,174,72,135,56,81
OTU81,69,193,66,55,32,90
OTU82,0,70,0,209,176,50
OTU83,56,174,113,67,56,35
OTU84,18,79,12,33,355,0
OTU85,124,108,205,30,0,22
OTU86,0,56,79,69,198,83
OTU87,0,0,0,92,391,0
OTU88,0,96,270,74,0,31
OTU89,18,73,29,0,201,147
OTU90,9,172,56,26,23,176
OTU91,0,57,38,40,219,108
OTU92,0,43,64,74,52,226
OTU93,17,78,41,191,43,86
OTU94,0,198,117,141,0,0
OTU95,53,65,73,113,9,142
OTU96,0,56,64,42,176,116
OTU97,0,74,58,48,207,66
OTU98,0,28,39,43,282,60
OTU99,0,36,66,0,142,207
OTU100,0,0,0,0,450,0
OTU101,0,0,427,22,0,0
OTU102,142,54,180,70,0,0
OTU103,0,89,50,83,106,116
OTU104,0,0,0,66,347,31
OTU105,0,0,37,66,138,194
OTU106,0,63,63,139,53,116
OTU107,0,279,48,105,0,0
OTU108,52,132,71,72,0,102
OTU109,0,45,67,16,234,67
OTU110,0,97,277,42,0,0
OTU111,0,40,0,375,0,0
OTU112,41,31,22,114,178,28
OTU113,0,112,266,35,0,0
OTU114,168,60,81,0,0,101
OTU115,0,104,41,93,64,97
OTU116,40,121,83,27,63,55
OTU117,30,199,0,158,0,0
OTU118,0,52,49,35,103,148
OTU119,16,36,43,291,0,0
OTU120,0,41,0,197,135,10
OTU121,43,115,98,74,19,27
OTU122,36,179,9,121,17,5
OTU123,17,158,130,45,17,0
OTU124,13,33,75,0,42,204
OTU125,68,127,26,133,11,0
OTU126,9,25,30,49,102,149
OTU127,16,144,142,30,14,17
OTU128,0,81,58,69,82,70
OTU129,47,124,98,0,0,89
OTU130,22,116,30,136,18,34
OTU131,0,36,0,0,296,17
OTU132,0,30,41,0,31,246
OTU133,0,21,90,66,134,36
OTU134,0,182,118,46,0,0
OTU135,0,51,33,71,42,148
OTU136,22,56,85,0,57,121
OTU137,0,55,114,0,50,121
OTU138,11,177,58,0,21,72
OTU139,0,37,50,50,147,53
OTU140,0,0,0,35,302,0
OTU141,18,109,50,79,8,72
OTU142,41,110,62,104,0,18
OTU143,0,0,0,58,256,20
OTU144,0,0,333,0,0,0
OTU145,0,0,0,36,296,0
OTU146,0,91,74,35,55,72
OTU147,10,250,18,42,0,0
OTU148,37,72,109,98,0,0
OTU149,0,120,40,0,70,80
OTU150,13,52,28,87,14,115
OTU151,40,125,44,52,0,46
OTU152,0,27,5,12,238,23
OTU153,0,0,10,71,209,15
OTU154,31,60,0,91,91,30
OTU155,0,28,0,273,0,0
OTU156,38,47,63,24,22,106
OTU157,181,0,0,92,26,0
OTU158,0,0,0,23,275,0
OTU159,27,0,0,47,128,92
OTU160,0,144,71,78,0,0
OTU161,0,128,54,32,0,79
OTU162,0,141,17,106,0,28
OTU163,0,14,0,86,192,0
OTU164,17,51,54,37,131,0
OTU165,0,0,0,81,169,38
OTU166,17,101,39,64,21,45
OTU167,234,52,0,0,0,0
OTU168,0,51,0,69,164,0
OTU169,0,41,52,97,54,37
OTU170,0,0,0,0,212,67
OTU171,0,83,39,62,37,57
OTU172,0,46,0,59,131,39
OTU173,21,0,39,68,64,81
OTU174,0,40,45,56,55,74
OTU175,20,45,112,41,34,16
OTU176,25,132,27,65,0,18
OTU177,0,41,46,47,95,38
OTU178,0,25,0,53,189,0
OTU179,205,0,17,0,43,0
OTU180,0,0,0,0,204,61
OTU181,21,58,15,9,12,149
OTU182,37,40,52,58,0,74
OTU183,0,52,0,23,0,186
OTU184,54,78,38,89,0,0
OTU185,23,53,30,63,0,88
OTU186,20,53,31,0,26,127
OTU187,0,16,9,24,85,122
OTU188,0,32,0,35,188,0
OTU189,0,42,0,212,0,0
OTU190,0,77,0,57,0,119
OTU191,0,0,0,62,191,0
OTU192,0,75,0,47,45,83
OTU193,0,98,81,70,0,0
OTU194,135,0,113,0,0,0
OTU195,0,93,0,155,0,0
OTU196,0,60,0,48,60,80
OTU197,0,50,61,39,40,56
OTU198,0,40,0,116,29,60
OTU199,0,109,34,0,0,100
OTU200,22,133,32,54,0,0
OTU201,33,108,25,38,16,19
OTU202,22,53,31,82,0,51
OTU203,0,31,86,47,20,52
OTU204,64,20,126,0,0,25
OTU205,13,51,34,46,30,61
OTU206,0,0,83,0,152,0
OTU207,85,0,149,0,0,0
OTU208,9,81,65,36,16,24
OTU209,0,83,20,68,0,60
OTU210,10,45,64,86,0,25
OTU211,6,17,17,63,127,0
