otu,Kingdom,Phylum,Class,Order,Family,Genus
OTU1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum
OTU2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibriootroles,Desulfomicrobiaceae,Desulfomicrobium
OTU3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromootrodales,Alteromootrodaceae,Marinobacter
OTU4,Bacteria,Tenericutes,Mollicutes,NB1-n,otro,otro
OTU5,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
OTU6,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea
OTU7,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
OTU8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU9,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,otro,otro
OTU10,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfofustis
OTU11,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,otro
OTU12,Bacteria,TM6_(Dependentiae),otro,otro,otro,otro
OTU13,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea
OTU14,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfopila
OTU15,Bacteria,Chloroflexi,Aotroerolineae,Aotroerolineales,Aotroerolineaceae,otro
OTU16,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
OTU17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU18,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
OTU19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,otro
OTU20,Bacteria,Firmicutes,Clostridia,Halaotroerobiales,Halaotroerobiaceae,Halaotroerobium
OTU21,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatirhabdium
OTU22,Bacteria,Tenericutes,Mollicutes,NB1-n,otro,otro
OTU23,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfocella
OTU24,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter
OTU25,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfopila
OTU26,Bacteria,Cyanobacteria,Chloroplast,otro,otro,otro
OTU27,Bacteria,Bacteroidetes,Bacteroidetes_BD2-2,otro,otro,otro
OTU28,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum
OTU29,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimootros
OTU30,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,otro
OTU31,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,otro
OTU32,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromootrodales,Desulfuromootrodaceae,Pelobacter
OTU33,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibriootroles,Desulfomicrobiaceae,Desulfomicrobium
OTU34,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomootrodales,Erythrobacteraceae,Porphyrobacter
OTU35,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU36,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiaceae,otro
OTU37,Bacteria,Firmicutes,Clostridia,Halaotroerobiales,Halaotroerobiaceae,Halaotroerobium
OTU38,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter
OTU39,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU40,Bacteria,Chloroflexi,Aotroerolineae,Aotroerolineales,Aotroerolineaceae,otro
OTU41,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2
OTU42,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomootrodales,Sphingomootrodaceae,Novosphingobium
OTU43,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromootrodales,Desulfuromootrodaceae,Desulfuromusa
OTU44,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU45,Bacteria,Firmicutes,otro,otro,otro,otro
OTU46,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Seohaeicola
OTU47,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,otro
OTU48,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
OTU49,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,vadinBC27_wastewater-sludge_group
OTU50,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU51,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
OTU52,Bacteria,Tenericutes,Mollicutes,NB1-n,otro,otro
OTU53,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,otro
OTU54,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,otro
OTU55,Bacteria,Verrucomicrobia,OPB35_soil_group,otro,otro,otro
OTU56,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
OTU57,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU58,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera
OTU59,Bacteria,Bacteroidetes,Bacteroidetes_BD2-2,otro,otro,otro
OTU60,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfootrotronobacter
OTU61,Bacteria,Chloroflexi,Aotroerolineae,Aotroerolineales,Aotroerolineaceae,otro
OTU62,Bacteria,Cyanobacteria,Chloroplast,otro,otro,otro
OTU63,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,otro
OTU64,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2
OTU65,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamootrodaceae,Hydrogenophaga
OTU66,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,MidBa8,otro
OTU67,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomootrodales,otro,otro
OTU68,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,otro
OTU69,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfootrotronobacter
OTU70,Bacteria,Latescibacteria,otro,otro,otro,otro
OTU71,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,otro
OTU72,Bacteria,Tenericutes,Mollicutes,NB1-n,otro,otro
OTU73,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta_2
OTU74,Bacteria,Bacteroidetes,Bacteroidetes_BD2-2,otro,otro,otro
OTU75,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
OTU76,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Lentimicrobiaceae,otro
OTU77,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,otro
OTU78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassococcus
OTU79,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
OTU80,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromootrodales,Alteromootrodaceae,Marinobacter
OTU81,Bacteria,Cyanobacteria,Chloroplast,otro,otro,otro
OTU82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,otro
OTU83,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU84,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,MidBa8,otro
OTU85,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomootrodales,Erythrobacteraceae,Altererythrobacter
OTU86,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,otro
OTU87,Bacteria,otro,otro,otro,otro,otro
OTU88,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromootrodales,Alteromootrodaceae,Marinobacter
OTU89,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium
OTU90,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter
OTU91,Bacteria,Igotrovibacteriae,Igotrovibacteria,Igotrovibacteriales,PHOS-HE36,otro
OTU92,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter
OTU93,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus
OTU94,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,otro
OTU95,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,Draconibacterium
OTU96,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_Incertae_Sedis,Draconibacteriaceae,otro
OTU97,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Lacibacter
OTU98,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium
OTU99,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarciotro
OTU100,Archaea,Woesearchaeota_(DHVEG-6),otro,otro,otro,otro
OTU101,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfocella
OTU102,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomootrodaceae,Cobetia
OTU103,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomootrodales,Sphingomootrodaceae,Novosphingobium
OTU104,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamootrodaceae,Hydrogenophaga
OTU105,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,otro
OTU106,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium
OTU107,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromootrodales,Alteromootrodaceae,Marinobacter
OTU108,Bacteria,Bacteroidetes,otro,otro,otro,otro
OTU109,Bacteria,Chloroflexi,Aotroerolineae,Aotroerolineales,Aotroerolineaceae,otro
OTU110,Bacteria,Cyanobacteria,Chloroplast,otro,otro,otro
OTU111,Bacteria,Cloacimonetes,MSBL8,otro,otro,otro
OTU112,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Leptospiraceae,otro
